rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Comparison.Concession.Arg2-as-denier	aber	Wenn wir über die Kartierung von Städten nachdenken , denken wir an Wege , Straßen und Gebäude und an die Stadtentwicklung , die zu diesem Ergebnis führte , oder Sie denken an die großen Visionen eines Städteplaners	
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Es gibt aber andere Arten , über die Kartierung von Städten nachzudenken und wie diese entstanden sind	Heute möchte ich Ihnen eine neue Art Karte zeigen
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Heute möchte ich Ihnen eine neue Art Karte zeigen	Es ist keine geografische Karte , es ist eine Karte der Beziehungen zwischen den Menschen meiner Heimatstadt , Baltimore , Maryland
Implicit	Expansion.Conjunction	and	Es ist keine geografische Karte , es ist eine Karte der Beziehungen zwischen den Menschen meiner Heimatstadt , Baltimore , Maryland	Sie können sehen , dass jeder Punkt eine Person darstellt , jede Linie eine Beziehung zwischen diesen Menschen und jede Farbe eine Gruppierung innerhalb dieses Netzwerkes
Implicit	Expansion.Conjunction	and	Sie können sehen , dass jeder Punkt eine Person darstellt , jede Linie eine Beziehung zwischen diesen Menschen und jede Farbe eine Gruppierung innerhalb dieses Netzwerkes	Ich bin hier auf der grünen Seite , unten , weit am rechten Rand , wo die Geeks sind
Explicit	Expansion.Conjunction	Auch	Ich bin hier auf der grünen Seite , unten , weit am rechten Rand , wo die Geeks sind	TEDx ist unten , weit rechts
Implicit	Expansion.Conjunction	and	Auch TEDx ist unten , weit rechts	Auf der anderen Seite des Netzwerkes gibt es eher Afroamerikaner und Latinos , die um ganz andere Dinge besorgt sind als die Geeks
Implicit	Expansion.Conjunction	and	Um Ihnen ein Gefühl zu geben , den grünen Teil des Netzwerkes nennen wir Klein-timore , da diese Leute , wie es scheint , in einer sehr kleinen Stadt wohnen	Wir sehen immer wieder die gleichen Leute , weil wir nicht die ganze Breite und Tiefe der Stadt erforschen
Implicit	Expansion.Conjunction	and	Wir sehen immer wieder die gleichen Leute , weil wir nicht die ganze Breite und Tiefe der Stadt erforschen	Auf der anderen Seite des Netzwerkes haben sie Menschen , die an Dingen wie Hip-Hop interessiert sind und sich eher mit dem Wohngebiet DC / Maryland / Virigina identifizieren , als mit der korrekten Stadtbezeichnung für Baltimore
Implicit	Expansion.Conjunction	and	Auf der anderen Seite des Netzwerkes haben sie Menschen , die an Dingen wie Hip-Hop interessiert sind und sich eher mit dem Wohngebiet DC / Maryland / Virigina identifizieren , als mit der korrekten Stadtbezeichnung für Baltimore	In der Mitte sehen Sie etwas , das die beiden Gruppierungen verbindet , und das ist Sport
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	In der Mitte sehen Sie etwas , das die beiden Gruppierungen verbindet , und das ist Sport	Wir haben die Baltimore Orioles , die Baltimore Ravens [ Football ] den Olympioniken Michael Phelps , die Baltimore Firma Under Armour , die sie vielleicht kennen
Implicit	Expansion.Conjunction	and	Schauen wir uns San Francisco an	Sie sehen , dass dort etwas anderes passiert
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Sie sehen , dass dort etwas anderes passiert	Auf der einen Seite gibt es den Medien- , Politik- und Nachrichtenflügel , den es in Baltimore und anderen Städten meist gibt , es gibt aber auch diese tonangebende Gruppe der Geeks und Technikbegeisterten , die die obere Hälfte der Karte dominieren , sowie eine Gruppe , die so klar und ausgeprägt ist , dass wir sie als Twitter-Mitarbeiter bezeichnen , nahe bei den Geeks , zwischen Gamern und Geeks , am entgegengesetzten Ende des Hip-Hop-Spektrums
Explicit	Contingency.Cause+SpeechAct.Result+SpeechAct	also	Auf der einen Seite gibt es den Medien- , Politik- und Nachrichtenflügel , den es in Baltimore und anderen Städten meist gibt , es gibt aber auch diese tonangebende Gruppe der Geeks und Technikbegeisterten , die die obere Hälfte der Karte dominieren , sowie eine Gruppe , die so klar und ausgeprägt ist , dass wir sie als Twitter-Mitarbeiter bezeichnen , nahe bei den Geeks , zwischen Gamern und Geeks , am entgegengesetzten Ende des Hip-Hop-Spektrums	
Implicit	Expansion.Conjunction	und	Sie sehen also , dass die Spannungen , die wir aus San Francisco vernehmen , dass sich die Leute um Gentrifizierung sorgen , wegen diesen neuen Tech-Firmen , die neuen Wohlstand bringen und sich in der Stadt ansiedeln , real sind	Sie sehen das hier dokumentiert
Implicit	Expansion.Conjunction	and	Sie sehen das hier dokumentiert	Sie sehen die LGBT-Community , die nicht zu den Geeks passt , die Künstler , die Musiker
Explicit	Expansion.Conjunction	Und	Sie sehen die LGBT-Community , die nicht zu den Geeks passt , die Künstler , die Musiker	"dies führt zu Dingen wie diesen : [ "" Twitter raus "" ]"
Implicit	Contingency.Cause+Belief.Result+Belief	so	Es zeigt auf , was auf dem Boden von San Francisco passiert	sie können versuchen , das verstehen , indem sie solche Karten anschauen
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Betrachten wir Rio de Janeiro	Ich sammelte die letzten Wochen Daten in Rio
Implicit	Expansion.Conjunction	und	Ich sammelte die letzten Wochen Daten in Rio	Eine Sache viel mir in dieser Stadt auf : Alles ist wirklich sehr gemischt
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Eine Sache viel mir in dieser Stadt auf : Alles ist wirklich sehr gemischt	Es ist eine sehr heterogene Stadt , nicht wie Baltimore oder San Francisco
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Es ist eine sehr heterogene Stadt , nicht wie Baltimore oder San Francisco	Es gibt immer noch die Gruppen an Menschen aus Verwaltung , Zeitungen , Politk und Kolummnisten
Implicit	Expansion.Conjunction	and	Es gibt immer noch die Gruppen an Menschen aus Verwaltung , Zeitungen , Politk und Kolummnisten	TEDxRio is unten rechts , rechts neben Bloggern und Autoren
Explicit	Comparison.Concession.Arg2-as-denier	aber	TEDxRio is unten rechts , rechts neben Bloggern und Autoren	
Explicit	Expansion.Conjunction	auch	TEDxRio is unten rechts , rechts neben Bloggern und Autoren	
Explicit	Expansion.Conjunction	Sogar	Es gibt aber auch diese enorme Vielfalt an Menschen , interessiert an verschiedenen Musikarten	Justin Bieber-Fans sind vertreten
