rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Expansion.Conjunction	ir	﻿Pasaulis keičiasi keliais esmingais būdais	man rūpi
Explicit	Contingency.Condition.Arg2-as-cond	ar	 man rūp	ar investuotojai skiria pakankamai dėmesio svarbiausioms pokyčių priežastims ypač kalbant apie tvarumą.
Explicit	Expansion.Level-of-detail.Arg2-as-detail	O	﻿Pasaulis keičiasi keliais esmingais būdais ir man rūpi, ar investuotojai skiria pakankamai dėmesio svarbiausioms pokyčių priežastims ypač kalbant apie tvarumą	tvarumas, mano manymu, yra tokie viliojantys dalykai kaip aplinkosauga, socialiniai klausimai ir įmonių valdymas.
Implicit	Expansion.Level-of-detail.Arg2-as-detail	be to	O tvarumas, mano manymu, yra tokie viliojantys dalykai kaip aplinkosauga, socialiniai klausimai ir įmonių valdymas	Manau, yra neatsakinga ignoruoti šiuos dalykus, nes taip darydami keliame pavojų ilgalaikei grąžai ateityje
Explicit	Contingency.Cause.Reason	nes	Manau, yra neatsakinga ignoruoti šiuos dalykus	taip darydami keliame pavojų ilgalaikei grąžai ateityje
Explicit	Contingency.Cause+SpeechAct.Result+SpeechAct	Tad	Manau, yra neatsakinga ignoruoti šiuos dalykus, nes taip darydami keliame pavojų ilgalaikei grąžai ateityje	pasakysiu kai ką, kas gali jus nustebinti: galios balansas, galintis išties paveikti tvarumą, yra institucinių investuotojų rankose
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kas	pasakysiu kai ką	gali jus nustebinti
Explicit	Expansion.Level-of-detail.Arg1-as-detail	kad	Tikiu	tvarus investavimas ne toks komplikuotas
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kas	Noriu priminti	mums jau žinoma
Implicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Noriu priminti, kas mums jau žinoma	Mūsų populiacija ir didėja, ir senėja
Explicit	Temporal	o	šiandien pasaulyje gyvena 7 milijardai sielų	mūsų amžiaus pabaigoje priartėsime prie 10 milijardų
Explicit	Expansion.Substitution.Arg2-as-subst	nei	gamtos išteklius mes naudojame greičiau	juos galima atkurti
Explicit	Expansion.Conjunction	o	gamtos išteklius mes naudojame greičiau, nei juos galima atkurti	teršalų išmetimas yra labiausiai kaltas dėl didėjančio klimato atšilimo
Explicit	Comparison.Contrast	bet	tai aplinkosaugos ir socialiniai klausimai	juk tai dar ne viskas.
Implicit	Expansion.Conjunction	ir	Žinoma, tai aplinkosaugos ir socialiniai klausimai, bet juk tai dar ne viskas	Tai tai pat ekonominiai klausimai ir todėl jie svarbūs verslo rizikai ir grąžai
Explicit	Expansion.Conjunction	ir	Tai tai pat ekonominiai klausimai	jie svarbūs verslo rizikai ir grąžai
Explicit	Contingency.Cause.Result	todėl	Tai tai pat ekonominiai klausimai	jie svarbūs verslo rizikai ir grąžai
Explicit	Expansion.Conjunction	Ir	Tai tai pat ekonominiai klausimai ir todėl jie svarbūs verslo rizikai ir grąžai	jie tokie sudėtingi
Explicit	Expansion.Conjunction	ir	jie tokie sudėtingi	gali atrodyti mums tolimi
Explicit	Contingency.Cause.Result	kad	Ir jie tokie sudėtingi ir gali atrodyti mums tolimi	galime būti linkę daryti štai ką: slėpti galvą smėlyje ir negalvoti apie tai
Explicit	Contingency.Condition.Arg1-as-cond	Jei	tik galite	priešinkitės tam
Implicit	Comparison.Contrast	bet	jie tokie sudėtingi ir gali atrodyti mums tolimi, kad galime būti linkę daryti štai ką: slėpti galvą smėlyje ir negalvoti apie tai	Jei tik galite, priešinkitės tam
Implicit	Comparison.Contrast	bet	Jei tik galite, priešinkitės tam	Nedarykite šito namie
Explicit	Expansion.Level-of-detail.Arg2-as-detail	ar	tai verčia mane klausti	šiandienos investavimo taisyklės tinkamos ateities tikslams
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Žinome	investuotojai, žiūrėdami į įmonę ir spręsdami, ar į ją investuoti, įvertina finansinius duomenis, tokius rodiklius kaip pardavimų augimas, pinigų srautai, rinkos dalis, vertės nustatymas – na, tokius gundančius dalykėlius
Explicit	Expansion.Level-of-detail.Arg2-as-detail	ar	investuotojai, žiūrėdami į įmonę ir spręsdami	į ją investuoti
Implicit	Comparison.Concession.Arg2-as-denier	nors	Žinome, kad investuotojai, žiūrėdami į įmonę ir spręsdami, ar į ją investuoti, įvertina finansinius duomenis, tokius rodiklius kaip pardavimų augimas, pinigų srautai, rinkos dalis, vertės nustatymas – na, tokius gundančius dalykėlius	Žinoma, visa tai yra labai svarbu, bet nepakankama
Implicit	Contingency.Cause+Belief.Result+Belief	todėl	Žinoma, visa tai yra labai svarbu, bet nepakankama	Jie turėtų įvertinti ir tuos efektyvumo rodiklius, kuriuos vadiname ASV: aplinkosauga, socialiniai klausimai ir valdymas
Implicit	Expansion.Conjunction	ir	Aplikosauga apima energijos vartojimą, prieigą prie vandens, atliekų tvarkymą ir taršą ir ekonomišką išteklių naudojimą	Socialinė pusė – žmogiškasis kapitalas, įdarbinimo klausimai ir gebėjimas imtis inovacijų, taip pat tiekimo grandinės valdymas ir darbuotojų teisės bei žmogaus teisės
Explicit	Expansion.Conjunction	O	Socialinė pusė – žmogiškasis kapitalas, įdarbinimo klausimai ir gebėjimas imtis inovacijų, taip pat tiekimo grandinės valdymas ir darbuotojų teisės bei žmogaus teisės	valdymas – tai įmonių priežiūra vykdoma valdybų ir investuotojų
Explicit	Contingency.Cause+Belief.Result+Belief	Taigi	Aplikosauga apima energijos vartojimą, prieigą prie vandens, atliekų tvarkymą ir taršą ir ekonomišką išteklių naudojimą. Socialinė pusė – žmogiškasis kapitalas, įdarbinimo klausimai ir gebėjimas imtis inovacijų, taip pat tiekimo grandinės valdymas ir darbuotojų teisės bei žmogaus teisės. O valdymas – tai įmonių priežiūra vykdoma valdybų ir investuotojų	kaip ir sakiau, tai išties patrauklūs dalykai
Explicit	Expansion.Conjunction	Bet	kaip ir sakiau, tai išties patrauklūs dalykai	ASV – tai tvarumo matas
Explicit	Expansion.Conjunction	o	ASV – tai tvarumo matas	tvarus investavimas atsižvelgia į ASV faktorius ir finansinius faktorius investavimo procese
Implicit	Expansion.Level-of-detail.Arg2-as-detail	taigi	tvarus investavimas atsižvelgia į ASV faktorius ir finansinius faktorius investavimo procese	Tai reiškia riboti riziką ateityje mažinant žalą žmonėms ir planetai, ir tai reiškia kapitalo teikimą naudotojams, kurie juo naudojasi siekdami produktyvių ir tvarių rezultatų
