rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	taigi	﻿Kai kalbame apie miestų žemėlapius, paprastai galvojame apie kelius, gatves ir pastatus, ir gyvenamųjų vietų naratyvą, dėl kurio miestas kūrėsi, arba galvojame apie drąsią urbanistinio dizainerio viziją, bet galime ir kitaip galvotiapie miestų žemėlapius ir kaip jie buvo sukurti.	Šiandien jums parodysiunaujo tipo žemėlapį.
Implicit	Comparison.Concession.Arg2-as-denier	bet	Šiandien jums parodysiunaujo tipo žemėlapį.	Tai ne geografinis žemėlapis
Implicit	Expansion.Substitution.Arg2-as-subst	priešingai	Tai ne geografinis žemėlapis	Jis vaizduoja ryšius tarp žmonių iš mano gimtojo miesto Baltimorės Merilende, ir kiekvienas taškas jame vaizduoja žmogų, kiekviena linija vaizduoja ryšį tarp tų žmonių, ir kiekviena spalva vaizduoja bendruomenę
Implicit	Comparison.Contrast	priešingai	Aš esu žalioje pusėje, toli dešinėje su kitais moksliukais, TEDx irgi ten dešinėje	Kitoje tinklo pusėje daugiausia afro amerikiečiai ir žmonės kilę iš lotynų amerikos, kuriems rūpi kiek kiti dalykai, nei moksliukams, tuoj paaiškinsiu, kad žaliąją tinklo pusę ten gyvenantieji vadina Mažąja Baltimore, nes atrodo, kad gyvename labai mažame mieste
Implicit	Contingency.Cause.Reason	kadangi	tuoj paaiškinsiu, kad žaliąją tinklo pusę ten gyvenantieji vadina Mažąja Baltimore, nes atrodo, kad gyvename labai mažame mieste	Vėl ir vėl matome tuos pačius žmones, bet tik todėl, kad pakankamai neieškome visame miesto gylyje ir plotyje
Explicit	Comparison.Contrast	Bet	Kitoje tinklo pusėje yra žmonės, kurie domisi hip-hopo muzika ir jie net tapatina save labiau su Vašingtonu, Merilendu ir Virdžinijanei su Baltimorės miestu	viduryje matote kai ką, kas jungia abidvi bendruomenes, tai sportas
Implicit	Expansion.Instantiation	pavyzdziui	viduryje matote kai ką, kas jungia abidvi bendruomenes, tai sportas	Turime Baltimore Orioles, Baltimore Ravens futbolo komandą, olimpininką Michael Phelps
Implicit	Expansion.Conjunction	ir	Turime Baltimore Orioles, Baltimore Ravens futbolo komandą, olimpininką Michael Phelps	Galbūt girdėjote Baltimorės kompaniją Under Armour, ir ta sporto bendruomenė yra tiltas, jungiantisabi tinklo puses
Implicit	Comparison.Contrast	bet	Galbūt girdėjote Baltimorės kompaniją Under Armour, ir ta sporto bendruomenė yra tiltas, jungiantisabi tinklo puses	Pežvelkime į San Fransiską
Implicit	Expansion.Level-of-detail.Arg2-as-detail	iš tiesų	Pežvelkime į San Fransiską	Jame kai kas gana kitaip
Implicit	Expansion.Level-of-detail.Arg2-as-detail	faktiškai	Jame kai kas gana kitaip	Vienoje pusėje turime žiniasklaidos, politikos ir žinių žievę, kuri pastebima ir Baltimorėje, ir kitur, bet taip pat turime vieną labai aiškią moksliukų ir technologijos entuziastų grupę,  kuri užima viršutinę tinklo pusę, o viena grupė tokia aiški, kad galime ją identifikuotikaip Twitter darbuotojus, tarp technologijų entuziastų ir kompiuterinių žaidimų žaidėjų, priešingoje spektro pusėje nei hip-hopas
Explicit	Contingency.Cause.Result	Taigi	Vienoje pusėje turime žiniasklaidos, politikos ir žinių žievę, kuri pastebima ir Baltimorėje, ir kitur, bet taip pat turime vieną labai aiškią moksliukų ir technologijos entuziastų grupę,  kuri užima viršutinę tinklo pusę, o viena grupė tokia aiški, kad galime ją identifikuotikaip Twitter darbuotojus, tarp technologijų entuziastų ir kompiuterinių žaidimų žaidėjų, priešingoje spektro pusėje nei hip-hopas	kaip matote įtampa apie kurią girdėjome San Fransiske apie susirūpinimą dėl būsto kainų ir gyventojų išstūmimo ir technologijų kompanijų, kurios atneša daug turto ir įsikuria, yra tikra, ir to įrodymą matote šioje medžiagoje
Implicit	Expansion.Conjunction	ir	kaip matote įtampa apie kurią girdėjome San Fransiske apie susirūpinimą dėl būsto kainų ir gyventojų išstūmimo ir technologijų kompanijų, kurios atneša daug turto ir įsikuria, yra tikra, ir to įrodymą matote šioje medžiagoje	Matote, kad LGBT bendruomenėne visai sutaria su moksliukų bendruomene, su menų bendruomene, su muzikos bendruomene
Explicit	Expansion.Conjunction	Ir	Matote, kad LGBT bendruomenėne visai sutaria su moksliukų bendruomene, su menų bendruomene, su muzikos bendruomene	tai priveda prie tokių dalykų
Implicit	Expansion.Equivalence	kitaip tariant	Per paskutines kelias savaites rinkau duomenis apie Rio ir vienas dalykas labai išsiskyrė iš kitų: viskas yra išties labai susimaišę	Tai labai heterogeniškas miestas, negu Baltimorė ar San Fransiskas
