rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Temporal.Synchronous	jednocześnie z	"Słysząc termin ""odwzorowanie miasta"	myślimy o ulicach i budynkach, czynnikach wpływających na ich stworzenie albo o śmiałej wizji miejskiego architekta
Explicit	Comparison.Contrast	Ale	"Słysząc termin ""odwzorowanie miasta"", myślimy o ulicach i budynkach, czynnikach wpływających na ich stworzenie albo o śmiałej wizji miejskiego architekta"	można zupełnie inaczej myśleć o mapach miast i tym, jak są przygotowywane
Implicit	Contingency.Cause.Result	więc (so)	Ale można zupełnie inaczej myśleć o mapach miast i tym, jak są przygotowywane	Chciałbym pokazać wam nowy rodzaj mapy
Implicit	Comparison.Contrast	ale	Chciałbym pokazać wam nowy rodzaj mapy	To nie jest mapa geograficzna
Implicit	Comparison.Contrast	ale	To nie jest mapa geograficzna	To jest mapa związków międzyludzkich w moim mieście, Baltimore w stanie Maryland
Implicit	Expansion.Instantiation	na przykład	Każda kropka reprezentuje pojedynczą osobę, każda linia to związek pomiędzy tymi ludźmi, a każdy kolor przedstawia wspólnotę w ramach tej sieci	Ja jestem na zielono, po prawej, z innymi okularnikami i TEDx też jest tutaj po prawej
Implicit	Expansion.Level-of-detail.Arg2-as-detail	otóż	Po drugiej stronie siatki mamy ludzi interesujących się hip-hopem	Oni identyfikują się bardziej z mieszkańcami Maryland lub Virginii niż z pozostałymi mieszkańcami Baltimore
Explicit	Expansion.Disjunction	jednak	Oni identyfikują się bardziej z mieszkańcami Maryland lub Virginii niż z pozostałymi mieszkańcami Baltimore	
Implicit	Expansion.Level-of-detail.Arg2-as-detail	mianowicie	Pomiędzy nimi znajdziemy jednak coś, co łączy dwie różne społeczności, a jest to sport	Mamy drużynę piłkarską i baseballową oraz olimpijczyka, Michaela Phelpsa
Implicit	Expansion.Conjunction	i (and)	Mamy drużynę piłkarską i baseballową oraz olimpijczyka, Michaela Phelpsa	Firma sportowa Under Armour ma swoją siedzibę w Baltimore
Implicit	Expansion.Level-of-detail.Arg1-as-detail	krótko mówiąc	Firma sportowa Under Armour ma swoją siedzibę w Baltimore	Sport jest jedynym łącznikiem między tymi dwoma społecznościami
Implicit	Expansion.Level-of-detail.Arg2-as-detail	otóż	Przyjrzyjmy się San Francisco	Można zauważyć, że w San Francisco wygląda to trochę inaczej
Implicit	Expansion.Level-of-detail.Arg2-as-detail	otóż	Można zauważyć, że w San Francisco wygląda to trochę inaczej	Mamy tu media, polityków, dziennikarzy, tak jak w Baltimore i innych miastach
Explicit	Comparison.Concession.Arg2-as-denier	Jednak	Mamy tu media, polityków, dziennikarzy, tak jak w Baltimore i innych miastach	liczebnie wyróżnia się grupa okularników i fanów techniki, stanowiących prawie połowę sieci
