rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Expansion.Instantiation	por exemplo	há outras formas de pensar em mapas de cidades e na forma como devem ser feitos	Hoje quero mostrar -vos um novo tipo de mapa
Implicit	Comparison.Contrast	pelo contrário	Isto não é um mapa geográfico	Isto é um mapa de_ as relações entre as pessoas na minha cidade de Baltimore , Maryland
Implicit	Expansion.Level-of-detail.Arg2-as-detail	especificamente	Isto é um mapa de_ as relações entre as pessoas na minha cidade de Baltimore , Maryland	Como veem aqui , cada ponto representa uma pessoa , cada linha representa uma relação entre essas pessoas e cada cor representa uma comunidade dentro de_ a rede
Implicit	Expansion.Instantiation	por exemplo	Como veem aqui , cada ponto representa uma pessoa , cada linha representa uma relação entre essas pessoas e cada cor representa uma comunidade dentro de_ a rede	"Eu estou aqui de_ o lado verde , no extremo direito , onde estão os "" geeks """
Implicit	Expansion.Conjunction	e	"Eu estou aqui de_ o lado verde , no extremo direito , onde estão os "" geeks """	O TEDx também está em baixo , no extremo direito
Implicit	Comparison.Contrast	por outro lado	O TEDx também está em baixo , no extremo direito	"Na extremidade oposta de_ a rede , há principalmente afro-americanos e latinos que se preocupam com coisas um pouco diferentes de_ o que os "" geeks """
AltLex	Expansion.Level-of-detail.Arg2-as-detail	Para que percebam melhor	"Eu estou aqui de_ o lado verde , no extremo direito , onde estão os "" geeks "" , ( Risos ) O TEDx também está em baixo , no extremo direito . ( Risos ) Na extremidade oposta de_ a rede , há principalmente afro-americanos e latinos que se preocupam com coisas um pouco diferentes de_ o que os "" geeks """	chamamos Smalltimore à parte verde de_ a rede , a_ os que ali moram , porque parece que vivemos em_ uma cidade muito pequena
Implicit	Contingency.Cause.Reason	porque	parece que vivemos em_ uma cidade muito pequena	Estamos sempre a encontrar as mesmas pessoas
Implicit	Comparison.Contrast	por outro lado	chamamos Smalltimore à parte verde de_ a rede , a_ os que ali moram , porque parece que vivemos em_ uma cidade muito pequena . Estamos sempre a encontrar as mesmas pessoas , mas isso acontece porque não exploramos toda a profundidade e amplitude de_ a cidade	"Na outra extremidade de_ a rede , temos pessoas que se interessam por música "" hip-hop "" e até se identificam dizendo que vivem na área DC / Maryland / Virginia , em vez de dizerem na cidade de Baltimore , a designação apropriada"
Explicit	Comparison.Concession.Arg2-as-denier	Mas	"Na outra extremidade de_ a rede , temos pessoas que se interessam por música "" hip-hop "" e até se identificam dizendo que vivem na área DC / Maryland / Virginia , em vez de dizerem na cidade de Baltimore , a designação apropriada"	no meio , vemos que há uma coisa que liga as duas comunidades
