rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Contingency.Cause.Reason	because	Мне очень повезло начать карьеру в Музее Современного Искусства на ретроспективе работ Элизабет Мюррей	Я столькому научилась у неё
Explicit	Temporal.Synchronous	Когда	я с особым восхищением смотрела на работы 70-х годов	куратор Роберт Сторр выбрал работы из всего её творчества
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Я столькому научилась у неё	Когда куратор Роберт Сторр выбрал работы из всего её творчества , я с особым восхищением смотрела на работы 70-х годов
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Когда куратор Роберт Сторр выбрал работы из всего её творчества , я с особым восхищением смотрела на работы 70-х годов	Там были мотивы и элементы , которые позже снова появятся в её творчестве
Implicit	Expansion.Conjunction	and	Там были мотивы и элементы , которые позже снова появятся в её творчестве	Я помню , как спросила её о впечатлениях от этих ранних работ
Explicit	Expansion.Conjunction	И	Она ответила , что некоторые работы не достигли желаемого результата	даже одна работа настолько не соответствовала её ощущениям , что оказалась в мусорке студии
Implicit	Comparison.Concession.Arg2-as-denier	but	И даже одна работа настолько не соответствовала её ощущениям , что оказалась в мусорке студии	Её подобрала соседка , увидев ценность работы
Implicit	Contingency.Cause.Result	as a result	Её подобрала соседка , увидев ценность работы	Именно в этот момент моё видение успеха и творчества изменилось
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Именно в этот момент моё видение успеха и творчества изменилось	Я поняла , что успех длится мгновение , а то , чем мы восхищаемся всегда , — это творчество и мастерство
Explicit	Comparison.Concession.Arg2-as-denier	а	успех длится мгновение	то , чем мы восхищаемся всегда , — это творчество и мастерство
Explicit	Comparison.Concession.Arg2-as-denier	Но	Я поняла , что успех длится мгновение , а то , чем мы восхищаемся всегда , — это творчество и мастерство	вот в чём загвоздка : каким образом успех превращается в мастерство
Explicit	Temporal.Synchronous	когда	это происходит	мы начинаем ценить дар « недостигнутой победы
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Думаю , это происходит , когда мы начинаем ценить дар « недостигнутой победы	Я начала это осознавать , когда однажды холодным майским днём наблюдала за студентами-лучниками — все женщины , как нарочно , — в северной части Манхэттена в Спортивном комплексе Коламбия Бейкер
Explicit	Temporal.Synchronous	когда	Я начала это осознавать	однажды холодным майским днём наблюдала за студентами-лучниками — все женщины , как нарочно , — в северной части Манхэттена в Спортивном комплексе Коламбия Бейкер
Implicit	Contingency.Cause.Reason	because	Я начала это осознавать , когда однажды холодным майским днём наблюдала за студентами-лучниками — все женщины , как нарочно , — в северной части Манхэттена в Спортивном комплексе Коламбия Бейкер	Я хотела увидеть то , что называют парадоксом лучника — идея , что для попадания в цель , необходимо целиться немного в сторону
Implicit	Expansion.Level-of-detail.Arg2-as-detail	so	Я хотела увидеть то , что называют парадоксом лучника — идея , что для попадания в цель , необходимо целиться немного в сторону	Я стояла и смотрела , как тренер привёз лучниц в сером фургоне , и они спокойно и сосредоточенно вышли из машины
Explicit	Expansion.Conjunction	и	стояла	смотрела
Explicit	Expansion.Conjunction	и	тренер привёз лучниц в сером фургоне	они спокойно и сосредоточенно вышли из машины
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Я стояла и смотрела , как тренер привёз лучниц в сером фургоне , и они спокойно и сосредоточенно вышли из машины	У одной в руке был недоеденный стаканчик с мороженым , а в левой руке были стрелы с жёлтым оперением
Explicit	Expansion.Conjunction	а	У одной в руке был недоеденный стаканчик с мороженым	в левой руке были стрелы с жёлтым оперением
Explicit	Expansion.Conjunction	и	прошли мимо	улыбнулись
Explicit	Comparison.Concession.Arg2-as-denier	но	улыбнулись	смерили меня взглядом
Explicit	Expansion.Conjunction	и	проходя к тиру	разговаривая не на языке слов , а на языке цифр , градусов , я так поняла — позиции , с которых они планировали попасть по цели
Implicit	Expansion.Conjunction	and	Они прошли мимо и улыбнулись , но смерили меня взглядом , проходя к тиру и разговаривая не на языке слов , а на языке цифр , градусов , я так поняла — позиции , с которых они планировали попасть по цели	Я стояла позади одной из стрелков , в то время как её тренер находился между нами , вероятно , для оценки , кому будет нужна поддержка , и следила за ней , не имея понятия , как вообще кто-нибудь сможет попасть в десятку
Explicit	Temporal.Synchronous	в то время как	Я стояла позади одной из стрелков	её тренер находился между нами , вероятно , для оценки , кому будет нужна поддержка
Explicit	Expansion.Conjunction	и	стояла позади одной из стрелков	следила за ней , не имея понятия , как вообще кто-нибудь сможет попасть в десятку
Explicit	Contingency.Condition.Arg2-as-cond	если	Десятка со стандартной дистанции 68,5 метров выглядела как спичечная головка	смотреть на неё с расстояния вытянутой руки
Explicit	Expansion.Conjunction	А	Десятка со стандартной дистанции 68,5 метров выглядела как спичечная головка , если смотреть на неё с расстояния вытянутой руки	при этом ещё нужно выдержать силу натяжения в 22,5 кг при каждом выстреле
Explicit	Comparison.Concession.Arg2-as-denier	а	Она сначала попала в семёрку , потом в девятку , а потом 2 раза в десятку	следующая стрела улетела мимо
Implicit	Contingency.Cause.Result	as a result	Она сначала попала в семёрку , потом в девятку , а потом 2 раза в десятку , а следующая стрела улетела мимо	это придало ей ещё больше упорства
