rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Expansion.Disjunction	Или	Думая о составлении карт городов , мы представляем дороги , улицы , здания , и историю их возникновения	мы думаем о смелом видении городского дизайнера
Explicit	Comparison.Concession.Arg2-as-denier	Но	мы думаем о смелом видении городского дизайнера	можно взглянуть иначе на картографирование городов и на то , как они возникли
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	можно взглянуть иначе на картографирование городов и на то , как они возникли	Сегодня я хочу показать вам новый вид карт
Implicit	Comparison.Concession.Arg2-as-denier	but	Сегодня я хочу показать вам новый вид карт	Это не географическая карта
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Это карта взаимоотношений между людьми в моём родном городе , в Балтиморе , штат Мэрилэнд	Вы можете видеть , что каждая точка отображает человека , каждая линия — связь между людьми , а каждый цвет — отдельное сообщество внутри города
Implicit	Expansion.Conjunction	and	Вы можете видеть , что каждая точка отображает человека , каждая линия — связь между людьми , а каждый цвет — отдельное сообщество внутри города	Я сейчас тут , в зелёной области , внизу справа , там же , где гики
Explicit	Expansion.Conjunction	И	Я сейчас тут , в зелёной области , внизу справа , там же , где гики	TEDx тоже справа внизу
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	С другой стороны карты — в основном , афроамериканцы и выходцы из Латинской Америки , интересы которых несколько отличаются от интересов гиков	Чтобы было понятнее , скажу , что зелёную часть карты мы зовём Смоллтимор , потому что она кажется людям , которые там живут , очень маленьким городком
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Чтобы было понятнее , скажу , что зелёную часть карты мы зовём Смоллтимор , потому что она кажется людям , которые там живут , очень маленьким городком	Мы видим тех же людей снова и снова
Explicit	Comparison.Concession.Arg2-as-denier	Но	Мы видим тех же людей снова и снова	"это оттого , что мы не интересуемся тем , что происходит во всём городе .
С другого конца карты — люди , увлекающиеся хип-хоп музыкой , и они даже приезжают жить в Мэрилэнд / Виргиния / Округ Колумбия , в общем , говорят , что Балтимор — подходящее для них место"
Explicit	Comparison.Concession.Arg2-as-denier	Но	С другого конца карты — люди , увлекающиеся хип-хоп музыкой , и они даже приезжают жить в Мэрилэнд / Виргиния / Округ Колумбия , в общем , говорят , что Балтимор — подходящее для них место	посередине карты вы видите то , что объединяет два сообщества
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Это спорт	"У нас есть Балтимор Ориолс , футбольная команда Балтимор Рэйвенс , Майкл Фелпс — олимпийский чемпион .
Under Armour , может слышали о такой балтиморской компании"
Explicit	Expansion.Conjunction	И	"У нас есть Балтимор Ориолс , футбольная команда Балтимор Рэйвенс , Майкл Фелпс — олимпийский чемпион .
Under Armour , может слышали о такой балтиморской компании"	это сообщество спорта — словно единственный мостик между двумя концами города
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Ситуация здесь несколько иная	Тут есть сообщество медиа , политики и новостей , которое существует в Балтиморе и других городах
Explicit	Expansion.Conjunction	так же	Тут есть сообщество медиа , политики и новостей , которое существует в Балтиморе и других городах	
Implicit	Expansion.Conjunction	and	Здесь так же есть очень большое сообщество из гиков и компьютерных техников , пожалуй , крупнейшее на карте	Тут даже есть сообщество , столь отчётливое и видное , что мы можем назвать его « Пользователи Твиттера
Implicit	Expansion.Conjunction	and	Оно расположено между геймерами и гиками , с другого конца от сообщества хип-хопа	Мы видим , что противоречия , которые мы слышали о Сан-Франциско , про трудности приобретения элитного жилья , новые компьютерные компании , создающие новые блага , поселения внутри города , — всё это правда
Explicit	Expansion.Conjunction	И	Мы видим , что противоречия , которые мы слышали о Сан-Франциско , про трудности приобретения элитного жилья , новые компьютерные компании , создающие новые блага , поселения внутри города , — всё это правда	всё это задокументировано здесь
Explicit	Temporal.Asynchronous.Succession	Далее	Вы видите , что сообщество сексуальных меньшинств не очень близко к сообществу гиков	мы видим сообщества искусства , музыки
Explicit	Expansion.Conjunction	И	мы видим сообщества искусства , музыки	это приводит к чему-то вроде этого : [ « Выключите Твиттер » ] Мне недавно прислали это фото , и это показывает нам , что происходит в Сан-Франциско
Explicit	Expansion.Conjunction	И	Мне недавно прислали это фото , и это показывает нам , что происходит в Сан-Франциско	я думаю , вы можете понять это , глядя на карты вроде этой
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Посмотрим на Рио-де-Жанейро	Последние пару недель я собирал данные о Рио , и кроме прочего , я отметил , что в этом городе всё смешалось
Implicit	Expansion.Conjunction	and	Это очень многонациональный город , не то , что Балтимор и Сан-Франциско	"Здесь тоже есть люди , занимающиеся управлением , журналистикой , политикой .
TEDxRio — внизу справа , правее блогеров и писателей"
Explicit	Comparison.Concession.Arg2-as-denier	Но	"Здесь тоже есть люди , занимающиеся управлением , журналистикой , политикой .
TEDxRio — внизу справа , правее блогеров и писателей"	тут ещё есть потрясающее многообразие людей , которым интересны разные виды музыки
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	тут ещё есть потрясающее многообразие людей , которым интересны разные виды музыки	"Тут отображены даже фанаты Джастина Бибера .
Другие мальчики-певцы , исполнители кантри , евангельская музыка , фанк и рэп , разговорная комедия"
Implicit	Expansion.Conjunction	and	"Тут отображены даже фанаты Джастина Бибера .
Другие мальчики-певцы , исполнители кантри , евангельская музыка , фанк и рэп , разговорная комедия"	Тут даже есть сообщество , связанное с наркотиками и шутками
Explicit	Expansion.Conjunction	И	Как вам такое	футбольная команда Фламенго здесь тоже отображена
Implicit	Expansion.Level-of-detail.Arg1-as-detail	in sum	"Посмотрим на Рио-де-Жанейро .
Последние пару недель я собирал данные о Рио , и кроме прочего , я отметил , что в этом городе всё смешалось .
Это очень многонациональный город , не то , что Балтимор и Сан-Франциско .
Здесь тоже есть люди , занимающиеся управлением , журналистикой , политикой .
TEDxRio — внизу справа , правее блогеров и писателей .
Но тут ещё есть потрясающее многообразие людей , которым интересны разные виды музыки .
Тут отображены даже фанаты Джастина Бибера .
Другие мальчики-певцы , исполнители кантри , евангельская музыка , фанк и рэп , разговорная комедия .
Тут даже есть сообщество , связанное с наркотиками и шутками .
Как вам такое ?
И футбольная команда Фламенго здесь тоже отображена"	Вы наблюдаете то же распространение спорта , гражданских институтов , искусства , музыки , но они отображены совсем иначе
Explicit	Expansion.Conjunction	И	Вы наблюдаете то же распространение спорта , гражданских институтов , искусства , музыки , но они отображены совсем иначе	я думаю , это наверно совпадает с нашим представлением о Рио , как об очень мультикультурном , музыкально разнообразном городе
Implicit	Expansion.Conjunction	and	я думаю , это наверно совпадает с нашим представлением о Рио , как об очень мультикультурном , музыкально разнообразном городе	у нас есть все эти данные
Explicit	Expansion.Conjunction	И	Это очень большой объём информации о городах , возможно , больше , чем когда-либо	что же мы можем с ними сделать
AltLex	Hypophora	что	Думаю , во-первых , мы можем постараться осознать , что разделение — социальная модель	же мы можем с ними сделать
Implicit	Expansion.Conjunction	and	Думаю , во-первых , мы можем постараться осознать , что разделение — социальная модель	Мы сами решаем , надо нам это или нет
Implicit	Expansion.Conjunction	and	Мы сами решаем , надо нам это или нет	Немного подумав об этом , вы поймёте , что наши действия с этими данными — это разглядывание города в телескоп
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Немного подумав об этом , вы поймёте , что наши действия с этими данными — это разглядывание города в телескоп	Мы смотрим на него , как на гигантский школьный кафетерий , где каждый занимает своё место
Implicit	Expansion.Conjunction	and	Мы смотрим на него , как на гигантский школьный кафетерий , где каждый занимает своё место	Возможно , настало время слегка изменить расположение мест
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Другая вещь , которую мы начинаем понимать : раса плохо представляет разнообразие	Представители самых разных рас отображены здесь по всей карте
Implicit	Expansion.Conjunction	and	Представители самых разных рас отображены здесь по всей карте	Глядя лишь на расу , мы не способствуем развитию разнообразия
Implicit	Expansion.Conjunction	and	Глядя лишь на расу , мы не способствуем развитию разнообразия	Если мы хотим использовать различия для решения каких-то наших насущных проблем , нам нужно начать думать о них иначе
Explicit	Expansion.Conjunction	И	Если мы хотим использовать различия для решения каких-то наших насущных проблем , нам нужно начать думать о них иначе	мы способны придать новый облик нашим городам
