rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Expansion.Disjunction	Ya da	Şehirlerin haritalarını oluşturmayı düşündüğümüzde yollar, sokaklar, caddeler, binalar ve şehirlerin oluşumuna yol açan yerleşim hikayeleri aklımıza gelir	bir kentsel tasarımcının cesur vizyonunu düşünebilirsiniz
Explicit	Comparison.Contrast	Ancak	Şehirlerin haritalarını oluşturmayı düşündüğümüzde yollar, sokaklar, caddeler, binalar ve şehirlerin oluşumuna yol açan yerleşim hikayeleri aklımıza gelir. Ya da bir kentsel tasarımcının cesur vizyonunu düşünebilirsiniz	şehirlerin haritalarını oluşturmayı düşünmenin ve yapmanın başka yolları da var
Implicit	Expansion.Level-of-detail.Arg2-as-detail	şöyle ki	şehirlerin haritalarını oluşturmayı düşünmenin ve yapmanın başka yolları da var	Bugün size yeni bir tür harita göstermek istiyorum
Implicit	Comparison.Concession.Arg2-as-denier	ama	Bugün size yeni bir tür harita göstermek istiyorum	Bu bir coğrafi harita değil
Implicit	Expansion.Substitution.Arg2-as-subst	aksine	Bu bir coğrafi harita değil	Bu benim memleketim Maryland, Baltimore’daki insanlar arasındaki ilişkilere dair bir harita
Implicit	Expansion.Level-of-detail.Arg2-as-detail	şöyle ki	Bu benim memleketim Maryland, Baltimore’daki insanlar arasındaki ilişkilere dair bir harita	Burada gördüğünüz her bir nokta bir kişiyi temsil etmekte
Explicit	Comparison.Contrast	ise	Burada gördüğünüz her bir nokta bir kişiyi temsil etmekte	
Implicit	Expansion.Conjunction	ve	her bir renk ağ içindeki topluluğu temsil etmektedir	Ben buradaki yeşil renkli, sağ aşağıda anti-sosyallerin yer aldığı alandayım
Explicit	Comparison.Similarity	de	Ben buradaki yeşil renkli, sağ aşağıda anti-sosyallerin yer aldığı alandayım	
Implicit	Expansion.Conjunction	ise	TEDx de sağdan aşağıda yer almakta	Ağın diğer tarafında başlıca Afro-Amerikalılar ve Latin toplumu yer almakta
Explicit	Contingency.Cause.Reason	Çünkü	Bir fikir vermek için ağın yeşil renkli alanını, burada ikamet edenlerimiz için Küçüktimore olarak adlandırabiliriz	adeta çok küçük bir kasabada yaşıyormuşuz gibi gözüküyor
Implicit	Expansion.Conjunction	ve	adeta çok küçük bir kasabada yaşıyormuşuz gibi gözüküyor	Tekrar tekrar aynı insanları görürüz
Explicit	Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct	Fakat	adeta çok küçük bir kasabada yaşıyormuşuz gibi gözüküyor	bu, şehri enine boyuna tüm derinliğine keşfetmemizden kaynaklanıyor
AltLex	Comparison.Contrast	keşfetmemizden kaynaklanıyor	Tekrar tekrar aynı insanları görürüz	Fakat bu, şehri enine boyuna tüm derinliğine keşfetmemizden kaynaklanıyor
Explicit	Comparison.Contrast	Fakat	Ağın diğer ucunda Hip-hop müzik gibi şeylerden hoşlanan topluluğu görebilirsiniz. hatta onlar DC/Maryland/Virgina bölgesinde, doğru tanımıyla Baltimore şehrinin üst tarafında yaşamakla özdeşleşirler	ortada iki toplumu birleştiren bir şey görürsünüz bu spordur
Implicit	Expansion.Instantiation	Örneğin	Fakat ortada iki toplumu birleştiren bir şey görürsünüz bu spordur	Baltimore Orioles ve Baltimore Ravens futbol takımları ve Olimpiyat sporcusu Micheal Plehps var
Implicit	Expansion.Level-of-detail.Arg2-as-detail	şöyle ki	San Francisco’da biraz farklı olan bazı şeyleri görürsünüz	Bir tarafta, medya, politika ve haber lobisine sahipsiniz ki bunlar Baltimore ve diğer şehirlerde olma eğilimindedir bir tarafta da çok baskın bir grup olan ve ağın üst yarsını oluşturan anti-sosyallar ve teknoloji meraklılarına da sahipsiniz aynı zamanda. Hatta çok farklı ve belirgin olan ve tweeter çalışanı olarak tanımlayabileceğimiz bir grup var anti-sosyalların yanında, bilgisayar oyuncuları ile Anti-sosyallar arasında Hip-hop spektrumun öbür ucunda
Explicit	Expansion.Conjunction	ve	çok baskın bir grup olan	ağın üst yarsını oluşturan
Explicit	Expansion.Conjunction	Hatta	Bir tarafta, medya, politika ve haber lobisine sahipsiniz ki bunlar Baltimore ve diğer şehirlerde olma eğilimindedir bir tarafta da çok baskın bir grup olan ve ağın üst yarsını oluşturan anti-sosyallar ve teknoloji meraklılarına da sahipsiniz aynı zamanda	çok farklı ve belirgin olan ve tweeter çalışanı olarak tanımlayabileceğimiz bir grup var anti-sosyalların yanında, bilgisayar oyuncuları ile Anti-sosyallar arasında Hip-hop spektrumun öbür ucunda
Explicit	Comparison.Concession.Arg2-as-denier	Ancak	çok farklı ve belirgin olan ve tweeter çalışanı olarak tanımlayabileceğimiz bir grup var anti-sosyalların yanında, bilgisayar oyuncuları ile Anti-sosyallar arasında Hip-hop spektrumun öbür ucunda	görüleceği gibi San Francisco’dan kulağımıza gelen ve insanların seçkinleştirme ve yeni teknoloji firmalarının şehre getirdiği yeni zenginlik ve yeni yerleşimlerden kaynaklanan gerginlik bir gerçek olup esasında bu durumun burada dökümante edildiğini görebilirsiniz
Explicit	Expansion.Conjunction	ve	San Francisco’dan kulağımıza gelen	insanların seçkinleştirme ve yeni teknoloji firmalarının şehre getirdiği
Implicit	Expansion.Instantiation	örneğin	görüleceği gibi San Francisco’dan kulağımıza gelen ve insanların seçkinleştirme ve yeni teknoloji firmalarının şehre getirdiği yeni zenginlik ve yeni yerleşimlerden kaynaklanan gerginlik bir gerçek olup esasında bu durumun burada dökümante edildiğini görebilirsiniz	LGBT toplumunun anti-sosyal topluluk ile çok da iyi iyi geçinmediğini görebilirsiniz
Explicit	Expansion.Conjunction	Keza	LGBT toplumunun anti-sosyal topluluk ile çok da iyi iyi geçinmediğini görebilirsiniz	sanat topluluğu, müzik topluluğu ile de
Implicit	Expansion.Equivalence	yani	Bu şehir hakkında benim dikkatimi çeken noktalardan gerçekten her şeyin bir tür karışım olması	Rio, Baltimore ve San Francisco’nun tersine tam bir heterojen şehir
Implicit	Expansion.Conjunction	VE	Hala hükümetle, gazetelerle, politkayla, köşe yazarlarıyla ilintili bir grup insan var	TEDx Rio, sağ aşağıda, blogcuların ve yazarların tam yanındadır
Explicit	Comparison.Concession	Fakat	TEDx Rio, sağ aşağıda, blogcuların ve yazarların tam yanındadır	değişik müzik tarzlarıyla ilgilenen büyük miktarda insan çeşitliliğine de sahipsiniz
Explicit	Expansion.Conjunction	ayrıca	TEDx Rio, sağ aşağıda, blogcuların ve yazarların tam yanındadır	değişik müzik tarzlarıyla ilgilenen büyük miktarda insan çeşitliliğine de sahipsiniz
Implicit	Expansion.Level-of-detail.Arg2-as-detail	şöyle ki	değişik müzik tarzlarıyla ilgilenen büyük miktarda insan çeşitliliğine de sahipsiniz	Justin Bieber hayranları bile burada gösterilmektedir
Implicit	Expansion.Conjunction	bununla beraber	Justin Bieber hayranları bile burada gösterilmektedir	Diğer müzik grupları, country şarkıcıları, dini müzik, funk, rap ve stand up komedi, Uyuşturucu ve espirileri içeren tüm bir bölge bile var
Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	işte	Diğer müzik grupları, country şarkıcıları, dini müzik, funk, rap ve stand up komedi, Uyuşturucu ve espirileri içeren tüm bir bölge bile var	Güzel, değil mi
AltLex	Expansion.Conjunction	Devam edersek	Güzel, değil mi	Flamengo futbol takımı da burada temsil edilmektedir
Explicit	Contingency.Cause+Belief.Result+Belief (Arg1-gives-evidence)	Böylece	Rio, Baltimore ve San Francisco’nun tersine tam bir heterojen şehir. Hala hükümetle, gazetelerle, politkayla, köşe yazarlarıyla ilintili bir grup insan var. TEDx Rio, sağ aşağıda, blogcuların ve yazarların tam yanındadır. Fakat, değişik müzik tarzlarıyla ilgilenen büyük miktarda insan çeşitliliğine de sahipsiniz ayrıca. Justin Bieber hayranları bile burada gösterilmektedir. Diğer müzik grupları, country şarkıcıları, dini müzik, funk, rap ve stand up komedi, Uyuşturucu ve espirileri içeren tüm bir bölge bile var. Güzel, değil mi? Devam edersek, Flamengo futbol takımı da burada temsil edilmektedir	spor, müzik, sivil, sanat ve müziğin aynı dağılımına sahipsiniz
Explicit	Expansion.Exception.Arg2-as-excpt	Ancak	spor, müzik, sivil, sanat ve müziğin aynı dağılımına sahipsiniz	o çok farklı bir şekilde temsil temsil edilmektedir
Implicit	Contingency.Cause+Belief.Result+Belief (Arg1-gives-evidence)	Sonuç olarak	o çok farklı bir şekilde temsil temsil edilmektedir	Sanırım bu, çok kültürlülüğü ve müzikal farklılığıyla Rio’yu anlama tarzımıza uygun düşer
Implicit	Expansion.Equivalence	yani	İşte bütün verilere sahibiz.	Şehirler hakkında inanılmaz zenginlikte bilgiye sahibiz şimdi
Implicit	Expansion.Level-of-detail.Arg2-as-detail	üstelik	Şehirler hakkında inanılmaz zenginlikte bilgiye sahibiz şimdi	Belki de şimdiye kadar sahip olduklarımızdan en zengini
AltLex	Expansion.Level-of-detail.Arg2-as-detail	ne	"Sanırım anlamaya çalışacağımız ilk şey ayrımcılığın sosyal bir yapı olduğudur. Bu bizim yapmayı veya yapmamayı tercih ettiğimiz bir şeydir. Ve eğer düşünürseniz, bizim bu verilerle yapmayı düşündüğümüz şey, şehrin üzerine uzay teleskopu tutmak ve adeta büyük bir lisenin kafeteryası gibiymiş bakmak, herkesin bir oturma şemasına kendisini nasıl yerleştirdiğini görmektir. Belki de zaman oturma şemasını biraz sallamaya gelmiştir.
Farkına varmaya başladığımız diğer bir şey ise ırkın gerçekten farklıklar için zayıf bir etken olduğudur. Farklı ırklardan insanların tüm harita üzerinde temsil edilmesini sağladık burada. Sadece ırka bakmak farklılıkları geliştirmemize gerçekte bir katkı sağlamaz. Eğer, farklılıkları bazı zor problemlerimizi çözmek için bir yöntem olarak kullanmayı deniyorsak farklıklara yeni bir tarzda bakmaya başlamamız gerekiyor.
Son olarak şehirlerimizi yeni bir şekilde şekillendirmeye başlayacak icatları yaratacak kabiliyete sahibiz ve inanıyorum ki eğer biz bu kabiliyete sahipsek bunu yapmak için bazı sorumlulukları üstlenebiliriz"	Belki de şimdiye kadar sahip olduklarımızdan en zengini. Peki bununla ne yapabiliriz
Explicit	Expansion.Level-of-detail.Arg2-as-detail	Peki	bütün verilere sahibiz. Şehirler hakkında inanılmaz zenginlikte bilgiye sahibiz şimdi. Belki de şimdiye kadar sahip olduklarımızdan en zengini	bununla ne yapabiliriz
